file,line,kind,label,binding,apiFamily,source
"src/admin/AdminConsolePage.tsx","146","display","{labels[value] || value}","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","241","table-column","""操作""","""_detail"" | (p: GridRenderCellParams) => ( <Button component={Link} to={href(p.row)}> 查看详情 </Button> )","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","293","display","""本地管理 Demo""","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","487","display","""待审核""","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","648","table-column","""申请用户""","""name"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","649","table-column","""邮箱""","""email"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","650","table-column","""费率方案""","""groupName"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","651","table-column","""状态""","""status"" | (p) => <State value={p.value} />","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","657","table-column","""申请时间""","""created_at"" | (v) => time(v)","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","675","display","{l}","{v}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","687","input/filter","""姓名、邮箱或用户编号""","{keyword}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","767","input/filter","""搜索费率方案""","{keyword}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","783","table-column","""费率方案""","""name"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","784","table-column","""说明""","""description"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","785","table-column","""客户数""","""memberCount"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","786","table-column","""状态""","""status"" | (p) => <State value={p.value} />","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","827","input/filter","""操作内容、对象或操作者""","{keyword}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","833","input/filter","""操作类型""","{params.get(""action"") || """"}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","847","input/filter","""开始日期 UTC""","{params.get(""from"") || """"}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","854","input/filter","""结束日期 UTC""","{params.get(""to"") || """"}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","880","table-column","""时间""","""createdAt"" | (v) => time(v)","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","886","table-column","""操作类型""","""action"" | (v) => actionNames[v] || v","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","892","table-column","""操作内容""","""description"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","898","table-column","""操作者""","""actor"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","929","input/filter","""搜索订单号或名称""","{keyword}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","935","input/filter","""币种""","{params.get(""currency"") || """"}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","967","table-column","""订单""","""name"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","968","table-column","""业务""","""kind"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","969","table-column","""收支金额""","""amount"" | (p) => money(p.row.amount, p.row.currency)","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","975","table-column","""状态""","""status"" | ","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","976","table-column","""创建时间""","""time"" | (v) => time(v)","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","1147","input/filter","""后台名称""","{name}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","1155","input/filter","""首页公告""","{notice}","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","1227","display","{p}","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","1248","display","{d?.storage === ""available"" ? ""本次读取成功"" : ""尚未确认""}","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","1269","display","{`${({ card: ""卡片"", transaction: ""交易"", account: ""账户"", balance: ""余额快照"", fee: ""费用"", virtualAccount: ""虚拟账户"" } as Record<string, string>)[r.kind] || r.kind} ${r.count}`}","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/admin/AdminConsolePage.tsx","1289","display","{c.mode}","","management/console/{overview,orders,audit,settings,system}","本地管理数据"
"src/auth/CompleteRegistration.tsx","37","input/filter","""已验证邮箱""","{user.email || ''}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/CompleteRegistration.tsx","38","input/filter","""姓名""","{name}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/CompleteRegistration.tsx","40","input/filter","""设置密码（至少 12 位）""","{password}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/CompleteRegistration.tsx","41","input/filter","""确认密码""","{confirm}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage 2.tsx","46","display","{user.emailVerified ? '邮箱已验证' : '邮箱待验证'}","","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage 2.tsx","46","display","{session?.mfaVerified ? '本次登录已完成双重验证' : '本次登录未完成双重验证'}","","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage 2.tsx","59","input/filter","""验证器当前的六位验证码""","{code}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage 2.tsx","69","input/filter","{isAdminSite ? ""客户与资源"" : ""个人账户业务""}","{scope}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage.tsx","46","display","{user.emailVerified ? '邮箱已验证' : '邮箱待验证'}","","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage.tsx","46","display","{session?.mfaVerified ? '本次登录已完成双重验证' : '本次登录未完成双重验证'}","","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage.tsx","59","input/filter","""验证器当前的六位验证码""","{code}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/auth/SessionPage.tsx","69","input/filter","{isAdminSite ? ""客户与资源"" : ""个人账户业务""}","{scope}","Firebase SDK + Go /api/v1/{me,register}","身份与注册"
"src/bins/BinManagementPage.tsx","60","display","""卡BIN产品""","""bins""","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","66","display","""渠道管理""","""channels""","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","127","table-column","""卡产品""","""name"" | ","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","128","table-column","""BIN前缀""","""binPrefix"" | ","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","129","table-column","""卡组织""","""network"" | ","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","130","table-column","""发卡渠道""","""channelName"" | (v) => v || ""未关联 / 本地演示""","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
